ID,name,kana,description,URL,Facebook,Instagram,Twitter,image,date,name
12,DENIMS,デニムス,"古い物好きだけど新しい事をしたい。大人だけど子供のように。お洒落だけど泥臭い。
そんなバンド。2012年 大阪堺にてDENIMS結成。
2015年 自主レーベルOSAMIstudio.から初の全国流通盤となる1st Mini Album “Daily use” をリリース。
2016年 2nd Mini Album“iggy&pops”をリリース、ツアーファイナル@東心斎橋CONPASS初ワンマンはソールド。
同年、FUJI ROCK FESTIVAL’16出演。2017年 1st full album”DENIMS”をリリース。VIVA LA ROCK 2017出演。
2018年　東名阪福、4都市のワンマンツアーを行い全公演ソールドアウト。
大阪・味園ユニバースにてDENIMS主催フェス”ODD SAFARI”を開催し、700人動員しソールドアウト。
RUSH BALL 2018出演。2019年　V6 50thシングルCPに「そんな顔しなくたっていい」を楽曲提供。",http://denim-s.jp/,https://www.facebook.com/DENIMS.jp,https://www.instagram.com/denims_official,https://twitter.com/DENIMS_official,img/DENIMS_A_201225.jpg,2021-08-28,DENIMS
4,HAS a.k.a. EL ×Waves,エル,"福井県出身　MC
2003年 上京と共に都内クラブにて月最高14本のライブをこなす
その他、オーガナイザーとして都内で毎月イベントを企画するなど精力的に活動
2012年に日本屈指のＪＡＺＺレーベルの名門
株式会社アート・ユニオン　レコードより日本人では初となるＨＩＰＨＯＰアーティストとして待望の 1st アルバム【ＬＡＢＯＲ】の全国リリースを果たす
2018年9月7日 TOYBOX Records より2ndアルバム【DIG THE LIFE】をリリース
2018年 DIG THE LIFEより ＃8 DOTEが㈱田中化学研究所のCMソングに楽曲提供される
2019年 福井県最大級の祭りフェニックス祭りで、MCバトルを企画運営する
2020年　what's going's on デジタルシングルをリリース",,,,,img/HAS a.k.a EL.jpg,2021-08-28,HAS a.k.a. EL ×Waves
13,fox capture plan,フォックスキャプチャープラン,"“現代版ジャズ・ロック”をコンセプトとした情熱的かつクールで新感覚なピアノ・トリオ・サウンドを目指し、それぞれ違う個性を持つバンドで活動する3人が集まり2011年結成。

過去8枚のフル・アルバムを発表し“CDショップ大賞 ジャズ部門賞”を2度受賞、“JAZZ JAPAN AWARD 2013アルバム・オブ・ザ・イヤー・ニュー・スター部門”、そして“JAZZ JAPAN AWARDアルバム・オブ・ザ・イヤー・ニュー・ジャズ部門”を2015年と2020年に獲得。
主なライブ活動として、2016年“FUJI ROCK FESTIVAL’16”、2017年“SUMMER SONIC 2017”、さらに“TOKYO JAZZ FESTIVAL”には3年連続出演。2018年ブルーノート東京での単独2DAYS公演、2020年に東京国際フォーラムでの単独公演を行う。
その他、オーストラリア“Brisbane Festival”出演、韓国・台湾・香港・シンガポール・マレーシア・ロシア・フランス、
そして3度の中国ツアー(全７ヶ所)を敢行するなど海外公演も積極的に行う。
楽曲制作では、TBS ドラマ「カルテット」、映画・フジテレビ系月 9 ドラマ「コンフィデンスマン JP」シリーズ、映画「事故物件 恐い間取り」、関西テレビ ドラマ“健康で文化的な最低限度の生活”、NHK プレミアムドラマ“一億円のさようなら”、劇場アニメ・TVアニメ「青春ブタ野郎〜」シリーズ、 TVアニメ「スタンドマイヒーローズ PIECE OF TRUTH」などの劇伴を担当、その他CM やゲームなど多方面へ楽曲を提供。
2020年には、Yosh (Survive Said The Prophet) やおかもとえみとのヴォーカル・フューチャリング楽曲を発表。
今年5月には、9th フル アルバム『NEBULA』のリリースを予定している。",www.foxcaptureplan.com/,https://www.facebook.com/foxcaptureplan/,https://www.instagram.com/foxcaptureplan/,https://twitter.com/foxcaptureplan,img/fox_.jpg,2021-08-28,fox capture plan
14,福井県立武生商工高等学校吹奏楽部,タケフショウコウコウトウガッコウスイソウガクブ,"３年連続で全国大会出場を果たした北陸代表、福井県立武生商業高等学校、吹奏楽部は、
「日本一ファンキーなバンド」として注目を集めているバンドです。",http://www.takefu-ch.ed.jp/,https://www.facebook.com/pages/category/Musician/%E6%AD%A6%E7%94%9F%E5%95%86%E6%A5%AD%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%B9%E5%A5%8F%E6%A5%BD%E9%83%A8-110602040323413/,,,img/takesyou.jpeg,2021-08-28,福井県立武生商工高等学校吹奏楽部
15,the hey song,ヘイソング,"Bass落合""キット""慶太、Piano芝田育代によるインストゥルメンタルバンド。
2015年より本格的に始動。2019年ビクターエンタテインメントよりメジャーデビュー。映画音楽に影響を受け「日常を映画のワンシーンに」をテーマにしたバンド。サポートメンバーにギター・ドラムを迎えライブ展開。
ADAM at、伊藤隆郎(TRI4TH)、橋本孝太も参加。楽しくも映画を見ているような音楽にライブ中涙するファンも多数。
メジャーデビュー作1st mini album「seed」がTOWER RECORDS JAZZチャートデイリー１位＆ウィークリー２位を獲得、iTunesStore JAZZアルバムチャートでは１位を獲得。Apple Musicやマクドナルドの店内BGMの公式プレイリストに選曲される。",theheysongband.wixsite.com/official,https://www.facebook.com/theheysong,https://www.instagram.com/theheysong_jp/,https://twitter.com/the_hey_song_jp,img/hey.jpg,2021-08-28,the hey song
16,THE BED ROOM TAPE,ベッドルーム,"景山奏によるソロ・プロジェクト。2013年、児玉奈央、
NAGAN SERVER、奇妙礼太郎が参加した「THE BED ROOM TAPE」、2015年、
川谷絵音、リミキサーとしてBudaMunkが参加した「YARN」、
2016年、Gotch、BASI、リミキサーとしてUyama Hirotoが参加した
「UNDERTOW」を発表。2021年夏より新曲のリリースを予定している。",,https://www.facebook.com/thebedroomtape/,https://www.instagram.com/kanadekageyamaa/?hl=ja,,img/THEBEDROOM TAPE.jpg,2021-08-28,THE BED ROOM TAPE
17,Ballhead,ボールヘッド,"日本人離れした推進力のあるグルーヴを武器にするStrictly butter soul beat smith。時代に左右される事の無い価値観を提示する厳格な一面を持ちつつ、大胆さと不自然なユーモアを併せ持つアンバランスさが特徴。
東京発experimental label「EPISTROPH」より最新作「STAYYOUNGMOVEMENT」各プラットフォームにて配信中。",,,,,img/ballhead.jpg,2021-08-28,Ballhead
18,Michael kaneko,マイケルカネコ,"湘南生まれ、南カリフォルニア育ちの日本人シンガーソングライター。
デビュー前にボーカリストとして起用されたTOYOTA、PanasonicのTVCMが話題となり問い合わせが殺到。
ウィスパーながらも芯のあるシルキーヴォイスが早耳音楽ファンの間で評判となる。
その後、デビュー前にもかかわずFUJI ROCK FESTIVAL、SUMMER SONIC、GREENROOM FESTIVALなどに出演。
タワーレコード“NO MUSIC, NO LIFE?”のポスターに登場。また AmPm feat. Michael Kanekoが各国Spotifyのバイラル・チャートにランクイン。インドネシアのフェスでは1万人規模のオーディエンスが大合唱、その声は5,000万人に届くことに。
そして2017年、満を持して『Westbound EP』でデビュー。
卓越したソングライティングとパフォーマンスは話題を呼び、プロデューサーとして森山直太朗、あいみょん、瑛人、Rude-α、majiko、s**t kingz、足立佳奈、Miyuuなどを手がける。
さらに大橋トリオ、ハナレグミ、藤原さくら、さかいゆう、SKY-HI & THE SUPER FLYERS、DJ HASEBE、Kan Sanoなどのライブやレコーディングにも参加。
また、CITROËN、NISSAN、ダイハツ、BACARDÍ、SHARP、IKEA、FREAK'S STORE、Amazon、J-WAVE、資生堂、ヤクルトなどのCM楽曲やジングル、映画「とんかつDJアゲ太郎」「サヨナラまでの30分」「ママレード・ボーイ」、ドラマ「僕たちがやりました」、アニメ「メガロボクス」のテーマソングや劇伴音楽も手がける。
2020年、1stアルバム『ESTERO』をリリース。
ラッパー Daichi Yamamotoをフィーチャリングするなど音楽性も幅を広げヒットを記録。
さらに、BAYFLOW、Ray-Ban、OFFSHOREのコラボや広告モデル、MUSIC ON! TVのMCなど、音楽活動にとどまらず活躍の場を広げている。",http://michaelkaneko.com/,https://ja-jp.facebook.com/michaelkanekomusic,https://www.instagram.com/michaelkanekomusic,https://twitter.com/michael_kaneko,img/MichaelKaneko_2020 2.jpg,2021-08-28,Michael kaneko
1,ORESKABAND,オレスカバンド,"日本のガールズスカ・ロックバンド。
2003年5月、中学3年生の時に同級生のブラスバンド部を中心に結成。同10月に初ライブを行う。高校入学後も積極的にライブ活動を行い、2006年2月にソニーミュージックアソシエイテッドレコーズとメジャー契約を締結。7月に『俺』でメジャーデビュー。全米ツアーや、アルゼンチン、ブラジル公演など、日本にとどまらず海外まで活動の幅を広げている。",http://www.oreskaband.com/,https://www.facebook.com/ORESKABAND.JP,,https://twitter.com/oreska_official,img/oreskaband.jpg,2021-08-29,ORESKABAND
2,Calmera,カルメラ,"2006 年結成、8 人組の大阪発エンタメジャズバンド。メンバーは西崎ゴウシ伝説（Agitator, Tp, Gt, Per）、小林洋介（Tp）、辻本美博（Sax）、寺谷光（Tb）、PAKshin（Key）、宮本敦（Gt）、HIDEYAN（Ba）、きたいくにと（Dr）。2010 年 5 月に 1st アルバム「Hello!! ワールドワイド」をリリース。“エンタメジャズ” を日本から全世界に届けることをコンセプトに活動中。ソニー・ハイレゾウォークマン「h.ear ×WALKMAN(R)」の CM に起用された「犬、逃げた。-ver. 2.0-」、「R-1 ぐらんぷり」にて出囃子として使われた「ロックンロール キャバレー」、キユーピーマヨネーズ「野菜が、かがやく。」篇や回転寿司「スシロー」の CM 音楽、ドラマ「ミナミの帝王 ZERO」劇伴など、ほとんどの人がどこかで Calmera の音楽を耳にしていると言っても過言ではない。2020 年公開、ジャルジャル後藤淳平主演・木下半太監督映画「ロックンロール・ストリップ」の劇伴も担当。2016 年 3 月には日本最高峰のジャズクラブ・BLUE NOTE TOKYO にて異例の抜擢となるワンマンライブを開催し、2018 年には「TOKYO JAZZ」に出演するなどジャズライブシーンにおいて活躍する一方で、「Sunset Live」「SUMMER SONIC」などロックフェスにも出演。海外活動としては、2016 年 8 月「大邱国際ジャズフェスティバル」（韓国）へ日韓親善のために招待され、2017 年 9 月には同イベントのメインステージに出演。2021 年は結成 15 周年イヤーとして、5 月 12 日に12th アルバム「誰そ彼レゾナンス」をリリースし全国ツアーを行うなど、より一層精力的に活動中。",http://www.calmera.jp/,https://ja-jp.facebook.com/calmeramusic/,https://www.instagram.com/calmerajp,https://twitter.com/calmerajp,img/Calmera15th.jpg,2021-08-29,Calmera
